WindSpeed (m/s),Power (KW)
15.17,2051.23
12.44,1945.25
13.98,1980.63
13.94,2070.12
14.94,2165.41
15.91,2254.61
17,2332.47
17.83,2356.52
14.76,2118.5
17.62,2265.64
16.8,2353.89
17.35,2376.97
15.18,2198.13
15.44,2184.18
17.61,2129.56
18.42,2216.67
17.94,2131.42
19.33,2259.76
19.19,2246.7
19.02,2199.91
11.58,1870.02
12.83,1651.97
19.55,2199.5
16.77,1962
15.48,1979.48
17.07,1959.74
16.8,2098.21
16.35,1979.58
18.5,1931.78
17.03,1975.18
15.79,2044.82
12.89,2020.93
9.86,2090.81
11.66,2206.81
12.75,2211.07
14.36,2240.14
14.78,2174.85
14.13,2068.83
10.89,1884.39
12.03,1726.11
10.75,1635.12
11.79,1805.29
11.67,1648.68
11.3,1702.49
10.39,1556.76
10.45,1509.35
12.04,1526.27
11.77,1570.08
12.76,1584.27
13.62,1795.84
14.95,1939.27
13.4,1992.63
12.77,1903.84
11.36,1736.94
13.31,1837.03
12.92,1947.01
13.15,1834.76
12.81,1798.25
13.06,1882.96
12.73,1985.37
13.47,1982.15
13.34,1801.92
14.63,1995.31
13.57,1907.5
14.67,2002.01
13.23,2023.88
14.74,2039.68
14.8,1984.68
14.87,1960.55
14.17,1960.97
13.88,1815.07
13.2,1820.75
14.8,2053.85
14.32,1953.52
13.94,1994.39
14.28,2050.67
15.15,2065.98
14.29,1947.45
14.79,2007.84
13.52,1856.65
13.32,1895.44
14.88,1808.72
14.36,1999.2
13.45,1964.54
13.4,1993.52
13.98,2087.76
14.5,2135.22
14.93,2039.75
15.46,2197.28
15.77,2242.31
15.64,2107.13
15.18,2183.47
15.7,2132.53
13.64,1848.86
12.39,1711.76
12.76,1686.04
13.04,1766.4
14.37,1906.03
15.01,1924.97
14.73,1981.84
14.09,1868.33
14.21,1897.01
12.76,1772.03
11.73,1455.8
13.29,1776.47
12.17,1632.99
13.62,1828.67
13.89,2030.35
14.65,2103.55
13.75,2048.03
14.01,1951.42
12.85,1778.1
13.68,1747.66
10.72,1345.67
9.6,827.96
10.15,866.51
8.81,681.59
8.15,520.15
9.19,565.9
9.37,684.52
9.3,720.15
9.47,667.83
6.09,395.86
6.43,290.43
5.5,236.54
4.59,362.84
6.91,538.01
7.59,682.28
8.4,771.56
6.23,676.36
5.9,643.8
6.24,621.7
7.17,400.73
10.91,642.96
5.36,546.68
12.42,1631.84
12.8,1617.82
12.56,1666.03
11.9,1637.89
11.24,1556.99
12.98,1673.24
13.02,1810.25
12.64,1823.31
13.95,1890.77
12.83,1977.28
11.74,1692.91
11.96,1477.06
11.6,1374.93
11.45,1416.59
11.31,1391.72
12.67,1536.98
11.66,1515.47
12.45,1593.73
13.35,1700.28
13.45,1746.49
13.43,1755.41
12.99,1781.86
12.75,1736.31
13.32,1874.2
12.73,1778.31
11.2,1692.57
12.49,1781.54
13.59,1924.84
11.31,1802.14
11.61,1663.28
11.75,1678.66
11.91,1728.89
12.84,1796.12
12.95,1850.7
12.74,1742.56
12.8,1637.1
11.41,1621.86
11.95,1600.58
12.34,1743.34
12.89,1738.63
12.22,1569.72
11.48,1529.37
13.07,1783.13
12.98,1819.39
12.57,1748.29
12.01,1684.1
11.52,1582.4
11.46,1404.76
10.47,1224.19
10.94,1228.62
10.8,1279.17
12.07,1418.51
10.07,1273.28
11.01,1213.82
10.75,1059.84
10.79,1123.23
9.32,873.48
8.93,888.59
9.89,1256.27
11.43,1617.47
10.73,1439.82
10.62,1367.6
9.79,1141.93
10.22,1061.6
9.32,1031.45
9.52,1101.98
8.99,1099.98
10.22,1238.39
9.51,1160.59
8.61,1021.13
10.45,1249.54
10.32,1276.59
10.46,1200.82
11.77,1509.89
12.04,1700.07
12.46,1671.53
10.59,1573.12
12.24,1643.1
12.06,1548.76
10.78,1469.57
11.71,1624.41
12.64,1663.55
11.51,1747.78
12.01,1706.71
12.05,1695.42
10.03,1500.91
10.81,1421.72
12.39,1656.6
12.98,1695.85
11.07,1449.59
11.08,1510.57
11.55,1744.58
10.61,1494.86
11,1293.8
11.25,1457.64
11.16,1446.68
12.12,1478.44
11.62,1554.56
12.49,1457.26
12.15,1497.53
13.72,1599.24
13.08,1649.68
12.33,1603.26
12.78,1614.64
12.21,1731.59
12.76,1686.6
13.15,1710.04
12.87,1612.47
13.32,1708.32
14.48,1788.94
14.53,1766.75
14.66,1791.4
13.55,1664.18
13.31,1719.72
16,1862.99
16.25,1904.75
16.34,1986.19
15.2,1893.68
15.5,1888.74
15.63,1902.74
14.16,1838.92
14.81,1817.5
16.9,1974.4
15.83,1976.14
16.15,1899.98
15.87,1957.8
17.2,1930.87
16.41,1993.02
17.07,1997.94
18.8,2025.43
18.73,2089.74
18.34,2137.3
18.04,2156.99
17.39,2142.42
17.43,2171.65
19.58,2161.18
17.35,1975.23
18.22,1912.92
17.34,1937.47
18.53,2101.82
17.14,2090.79
17.42,2075.44
17.14,2068.58
17.91,2116.33
16.71,2109.93
17.56,2066.77
12.81,1891.33
9.44,1872.43
10.07,1988
9.11,2006.12
9.54,2081.9
14.9,2164.78
13.45,2148.23
12.78,2048.32
12.27,1959.42
10.49,2192.83
10.6,2189.27
11.81,2106.51
12.3,2158.5
14.35,2149.26
13.73,2190.35
13.47,2168.1
17.01,2191.49
13.54,2187.56
14.9,2064.49
12.22,2095.94
11.71,2080.78
12.33,2064.86
13.3,2109.21
14.95,2219.85
14.15,2225.59
14.48,2118.7
14.24,2042.28
13.39,2074.57
12.46,2183.34
12.85,2105.89
11.96,2018.04
13.28,2014.41
12.91,2014.66
13.25,1990.89
12.6,2006.67
12.96,1829.78
11.54,1795.24
12.11,1729.21
12.84,1713.45
14.89,1932.02
14.2,1985.08
13.86,2124.87
15.37,2107.06
14.51,2019.45
11.98,1937.15
11.08,2113.4
11.92,1911.79
16.22,1671.04
14.87,1703.72
13.38,1532.03
15.33,1635.1
14.71,1680.5
11.51,1458.46
15.15,1469.88
13.06,1461.8
11.8,1386.72
10.62,1099.77
11.2,904.93
13.36,1211.57
13.82,1575.12
12.76,1504.04
12.17,1322.56
12.47,1258.88
14.21,1540.22
12.3,1172.83
12.36,1152.97
11.83,1033.65
12.21,1244.03
13.01,1171.69
11.32,1015.05
10.2,941.71
12.75,1493.22
12.94,1373.63
11.03,970.25
10.51,895.82
10.64,944.7
11.77,1072.37
11.55,1040.36
10.88,1048.84
13.74,1572.61
12.46,1369
9.48,1143.31
8.61,802.54
9.73,1184.59
10.43,1633.5
9.28,1830.59
8.48,1623.77
8.18,1512.93
8.78,1554.41
10.04,1451.17
11.03,1457.32
10.11,1373.1
10.71,1175.04
11.93,1355.07
13.93,1832.33
19.09,1850.69
13.03,2086.65
12.27,1767.72
11.66,1406.46
11.75,1942.67
10.38,2211.49
9.01,2021.37
10.25,2094.42
8.14,2114.9
8.58,2221.83
9.58,2119.67
10.17,2034.68
14.67,2180.53
11.99,1925.98
10.12,1657.41
9.51,1685.41
11.1,1787.27
17.63,2239.48
14.52,2122.75
16.96,2069.59
16.37,1995.92
15.02,1875.15
15.41,1808.04
12.7,1649.65
14.53,1984.66
12.84,1754.09
13.41,1898.61
14.28,1981.64
13.8,1806.6
13.1,1690.3
12.71,1638.55
12.9,2041.88
12.04,1944.83
11.41,1891.52
17.75,2095.39
14.86,1844.07
14.19,1800.28
12.81,1478.19
11.59,1299.57
10.4,1271.04
11.84,1423.68
9.56,1632.9
7.95,1770.76
15.4,2095.97
16.61,2083.31
14.87,1994.08
15.06,1882.19
13.74,1702.8
13.53,1976.37
16.17,2038.6
16.12,2003.75
16.71,1849.26
14.18,1680.16
15.63,1998.58
16.97,2101.56
16.61,1976.03
15.13,1863.39
12.56,1623.36
13.32,1558.74
17.17,2080.28
11.9,1653.54
12.01,1733.34
12.24,1709.55
12.28,1600.09
12.76,1641.75
14.44,1912.77
13.34,1897.76
13.8,1943.32
13.13,1907.62
14.13,1965.86
14.81,2011.37
12.88,1849.6
12.67,1712.55
11.98,1638.85
11.48,1659.84
12.43,1615.28
13.32,1610.96
12.13,1352.72
12.87,1455.97
11.4,1077.01
9.72,958.52
10.03,1112.35
10.69,1108.84
10.23,1006.34
9.79,974.74
10.69,835.03
11.73,1302.44
11.85,1072.45
11.44,1300.22
12.57,1412.29
12.66,1337.28
14.4,1531.38
13.08,1505.25
11.71,1374.85
11.24,1529.74
11.86,1535.5
12.56,1532.68
3.27,17.64
1.36,1.18
1.59,0
2.01,0
2.49,2.42
4.13,12.8
4.23,3.59
3.68,0.02
3.92,0
3.93,0.01
3.39,0.01
3.56,0
4.56,3.83
4.37,17.28
3.68,1.49
4.49,2.88
3.63,0.01
3.32,0
2.98,0
3.13,0
3.72,0
2.74,0
2.88,0
2.89,0
2.6,0
2.06,0
2.47,0
0.8,0
1.29,0
2.97,0
1.75,0
1.76,0
3.2,0
4.36,0.39
4.09,0.35
4.49,2.72
2.53,5.81
3.28,22.25
5.35,64.94
4.6,28.51
5.3,64.29
4.88,72.41
4.41,49.2
2.31,48.87
3.59,83.6
3.51,69.92
4.06,108.96
4.45,74.91
2.84,35.34
4.72,74.05
5.85,190.87
4.73,120.21
4.62,125
5.45,130.2
6.12,152.81
5.99,116.24
7.28,318.29
5.76,182.92
6.98,289.44
6.01,240.55
6.74,292.48
6.2,233.85
5.57,226.26
6.67,334.41
7.85,411.57
6.44,289.73
5.38,257.61
6.99,259.68
6.11,148.99
7.43,400.96
5.51,129.74
